SL NO,Sanskrit,Hindi,English,Sentiment_Polarity,Sentiment_Label
75,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत। अव्यक्तनिधनान्येव तत्र का परिदेवना ।।,"हे अर्जुन ! सम्पूर्ण प्राणी जन्म से पहले अप्रकट थे और मरने के बाद भी अप्रकट हो जाने वाले हैं, केवल बीच में प्रकट हैं; फिर ऐसी स्थिति में क्या शोक करना है ? ।।","Arjuna, before birth beings are not manifest to our human senses; at death they return to the unmanifest again. They are manifest only in the interin between birth and death. What occasion, then, for lamentation?",0.0,Calmness
76,आश्चर्यवत्पश्यति कश्चिदेनमाश्चर्यवद्वदति तथैव चान्यः । आश्चर्यवच्चैनमन्यः श्रृणोति श्रुत्वाप्येनं वेद न चैव कश्चित् ।। ,कोई एक महापुरुष ही इस आत्मा को आश्चर्य की भाँति देखता है और वैसे ही दूसरा कोई महापुरुष ही इसके तत्त्व का आश्चर्य की भाँति वर्णन करता है तथा दूसरा कोई अधिकारी पुरुष ही इसे आश्चर्य की भाँति सुनता है और कोई-कोई तो सुनकर भी इसको नहीं जानता ।। ,"Hardly anyone perceives this soul as marvellous, scarce another likewise speaks thereof as marvellous, and scarce another hears of it as marvellous; while there are some who know it not even on hearing of it.",0.32,Empathy
77,देही नित्यमवध्योऽयं देहे सर्वस्य भारत । तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ।। ,हे अर्जुन ! यह आत्मा सब के शरीरों में सदा ही अवध्य है। इस कारण सम्पूर्ण प्राणियों के लिये तू शोक करने को योग्य नहीं है ।।,"Arjuna, this soul dwelling in the bodies of all can never be slain; therefore, you should not mourn for anyone.",0.0,Calmness
78,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि । धर्माद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ।। ,तथा अपने धर्म को देखकर भी तू भय करने योग्य नहीं है यानी तुझे भय नहीं करना चाहिये; क्योंकि क्षत्रिय के लिये धर्मयुक्त युद्ध से बढ़कर दूसरा कोई कल्याणकारी कर्तव्य नहीं है ।।,Besides: considering your own duty too you should not waver; for there is nothing more welcome for a man of the warrior class than a righteous war.,0.12083333333333333,Interest
79,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् । सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ।।,हे पार्थ ! अपने-आप प्राप्त हुए और खुले हुए स्वर्ग के द्वार रूप इस प्रकार के युद्ध को भाग्यवान् क्षत्रिय लोग ही पाते हैं ।। ३२ ।।,"Arjuna, happy are the Ksatriyas who get such an unsolicited opportunity for war; which opens the door to heaven.",0.2,Interest
80,अथ चेत्त्वमिमं धर्यं संग्रामं न करिष्यसि । ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ।।,किंतु यदि तू इस धर्म युक्त युद्ध को नहीं करेगा तो स्वधर्म और कीर्तिको खोकर पाप को प्राप्त होगा ।। ,"Now, if you refuse to fight this righteous war, then, shirking your duty and losing your reputation, you will incur sin.",0.0,Calmness
81,अकीर्तिं चापि भूताति कथयिष्यन्ति तेऽव्ययाम् । सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ।। ,तथा सब लोग तेरी बहुत काल तक रहने वाली अपकीर्ति का भी कथन करेंगे और माननीय पुरुष के लिये अपकीर्ति मरण से भी बढ़कर है ।।,"Nay, people will also pour undying infamy on you; and infamy brought on a man enjoying popular esteem is worse than death.",0.225,Empathy
82,भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः । येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ।,"और जिनकी दृष्टि में तू पहले बहुत सम्मानित होकर अब लघुता को प्राप्त होगा, वे महारथी लोग तुझे भय के कारण युद्ध से हटा हुआ मानेंगे ।। ","And the warrior-chiefs who thought highly of you, will now despise you, thinking that it was fear which drove you from battle.",0.10833333333333334,Interest
83,अवाच्यवादांश्च बहून् वदिष्यन्ति तवाहिताः । निन्दन्तस्तव सामर्थ्यं ततो दुःखतरं नु किम् ।। ,तेरे वैरी लोग तेरे सामर्थ्य की निन्दा करते हुए तुझे बहुत-से न कहने योग्य वचन भी कहेंगे; उससे अधिक दुःख और क्या होगा ।।,"And your enemies, disparaging your might, will speak many unbecoming words; what can be more distressing than this?",0.16666666666666666,Interest
84,हतो वा प्राप्स्यसि स्वर्ग जित्वा वा भोक्ष्यसे महीम् । तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ।। ,या तो तू युद्ध में मारा जाकर स्वर्ग को प्राप्त होगा अथवा संग्राम में जीतकर पृथ्वी का राज्य भोगेगा। इस कारण हे अर्जुन ! तू युद्ध के लिये निश्चय करके खड़ा हो जा ।। ,"Die, and you will win heaven; conquer, and you enjoy sovereignty of the earth; therefore, stand up, Arjuna, determined to fight.",0.3666666666666667,Empathy
85,सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ। ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ।। ३रु॥,"जय-पराजय, लाभ-हानि और सुख-दुःख को समान समझ कर, उसके बाद युद्ध के लिये तैयार हो जा; इस प्रकार युद्ध करने से तू पाप को नहीं प्राप्त होगा ।। ","Treating alike victory and defeat, gain and loss, pleasure and pain, get ready for the fight, then; fighting thus you will not incur sin.",0.44999999999999996,Enjoyment
86,एषा तेऽभिहिता सांख्ये बुद्धिर्योगे त्विमां श्रृणु । बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ।। ,हे पार्थ ! यह बुद्धि तेरे लिये ज्ञान योग के विषय में कही गयी और अब तू इसको कर्मयोग के विषय में सुन कि जिस बुद्धि से युक्त हुआ तू कर्मों के बन्धन को भलीभाँति त्याग देगा यानि सर्वथा नष्ट कर डालेगा ।।,"Arjuna, this attitude of mind has been presented to you from the point of view of Jñanayoga; now hear the same as presented from the standpoint of Karmayoga (the Yoga of selfless action). Equipped with this attitude of mind, you will be able to throw off completely the shackles of Karma.",-0.2,Sadness
87,नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते । स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ।।,इस कर्मयोग में आरम्भ का अर्थात् बीज का नाश नहीं है और उलटा फलरूप दोष भी नहीं है; बल्कि इस कर्मयोग रूप धर्म का थोड़ा सा भी साधन जन्म- मु रूप महान् भय से रक्षा कर लेता है ।। ,"In this path (of disinterested action) there is no loss of effort, nor is there fear of contrary result. Even a little practice of this discipline saves one from the terrible fear of birth and death.",0.2041666666666667,Empathy
88,व्यवसायात्मिका बुद्धिरेकेह कुरुनन्दन । बहुशाखा ह्मनन्ताश्च बुद्धयोऽव्यवसायिनाम् ।। ,हे अर्जुन ! इस कर्मयोग में निश्चयात्मिका बुद्धि एक ही होती है; किंतु अस्थिर विचार वाले विवेकहीन सकाम मनुष्यों की बुद्धियाँ निश्चय ही बहुत भेदोंवाली और अनन्त होती हैं ।। ,"Arjuna, in this Yoga (of disinterested action) the intellect is determinate and directed singly towards one ideal; whereas the intellect of the undecided (ignorant men moved by desires) wandes in all directions, after innumerable aims.",0.1,Interest
89,यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः । वेदवादरताः पार्थ नान्यदस्तीति वादिनः ।।,"हे अर्जुन ! जो भोगों में तन्मय हो रहे हैं, जो कर्म फल के प्रशंसक वेद-वाक्यों में प्रीति रखतनकी बुद्धि में स्वर्ग ही परम प्राप्य वस्तु है और जो स्वर्ग से बढ़कर दूसरी कोई वस्तु ही नहीं है-ऐसा कहने वाले हैं-वे अविवेकीजन इस प्रकार की जिस पुष्पित यानी दिखाऊ शोभायुक्त वाणी को कहा करते हैं ","Arjuna, those who are full of worldly desir s and devoted to the letter of the Vedas, wo look upon heaven, as the supreme goal a d argue that there is nothing beyond heaven are unwise.",0.08333333333333333,Interest
90, कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् । क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ।।,"जो कि जन्म रूप कर्म फल देने वाली एवं भोग तथा ऐश्वर्य की प्राप्ति के लिये नाना प्रकार की बहुत-सी क्रियाओं का वर्णन करने वाली है, उस वाणी द्वारा जिनका चित्त हर लिया गया है, जो भोग ",They utter flowery speech recommending many ritual of various kinds for the attainment of pleasure and power with rebirth as their fruit.,0.5,Enjoyment
91,भोगैश्वर्यप्रसक्तानां तयापहृतचेतसाम् । व्यवसायात्मिका बुद्धिः समाधौ न विधीयते,"और ऐश्वर्य में अत्यन्त आसक्त हैं, उन पुरुषों की परमात्मा में निश्चयात्मिका बुद्धि नहीं होती ।।"," Those whose minds are carried away by such words, and who are deeply attached to pleasure and worldly power, cannot attain the determinate intellect concentrated on God.",0.2,Interest
92,त्रैगुण्यविषया वेदा निस्त्रैगुण्यो भवार्जुन । निर्द्वन्द्वो नित्यसत्त्वस्थो निर्योगक्षेम आत्मवान् ।। ,"हे अर्जुन ! वेद उपर्युक्त प्रकार से तीनों गुणों के कार्यरूप समस्त भोगों एवं उनके साधनों का प्रतिपादन करने वाले हैं; इसलिये तू उन भोगों एवं उनके साधनों, आसक्तिहीन, हर्ष-शोकादि द्वन्द्वों से रहित, नित्यवस्तु परमात्मा में स्थित योगक्षेमको न चाहने वाला और स्वाधीन अन्तःकरणवाला हो ।। ","Arjuna, the Vedas thus deal with evolutes of the three Gunas (modes of Prakriti); viz.,worldly enjoyments and the means of attaining such enjoyments; be thou indifferent to these enjoyments and their means, rising above pairs of opposites like pleasur and pain etc.,established in the Eternal Existence (God), absolutely unconcerned about the supply of wants and the preservation of what has been already attained, and self-controlled.",-0.014285714285714287,Calmness
93,यावानर्थ उदपाने सर्वतः सम्प्लुतोदके । तावान् सर्वेषु वेदेषु ब्राह्मणस्य विजानतः ।।,"सब ओर से परिपूर्ण जलाशय के प्राप्त हो जाने पर छोटे जलाशय में मनुष्य का जितना प्रयोजन रहता है, ब्रह्म को तत्त्व से जानने वाले ब्राह्मण का समस्त वेदों में उतना ही प्रयोजन रह जाता है ।। ","A Brahmana, who has obtained enlighten- ment, has the same use for all the Vedas as one who stands at the brink of a sheet of water overflowing on all sides has for a small reservoir of water.",0.31666666666666665,Empathy
94,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन । मा कर्मफलहेतुर्भूर्मा ते संगोऽस्त्वकर्मणि ।।,"तेरा कर्म करने में ही अधिकार है, उसके फलों में कभी नहीं। इसलिये तू कर्मों के फलका हेतु मत हो तथा तेरी कर्म न करने में भी आसक्ति न हो ।। ","Your right is to work only, but never to the fruit thereof. Be not instrumental in making your actions bear fruit, nor attachment be to inaction.",0.2857142857142857,Empathy
95,योगस्थः कुरु कर्माणि संगं त्यक्त्वा धनञ्जय । सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ।। ,"हे धनञ्जय ! तू आसक्ति को त्याग कर तथा सिद्धि और असिद्धि में समान बुद्धिवाला होकर योग में स्थित हुआ कर्तव्य कर्मों को कर, समत्व ही योग कहलाता है ।। ","Arjuna, perform your duties established in Yoga, renouncing attachment, and even- tempered in success and failure; envenness of temper is called Yoga.",0.0,Calmness
96,"दूरेण ह्मवरं कर्म बुद्धियोगाद्धनञ्जय ।
बुद्धौ शरणमन्विच्छ कृपणाः फलहेतवः ।।",इस समत्वरूप बुद्धियोग से सकाम कर्म अत्यन्त ही निम्न श्रेणी का है। इसलिये हे धनञ्जय ! तू समबुद्धि में ही रक्षा का उपाय ढूँढ़ अर्थात् बुद्धियोग का ही आश्रय ग्रहण कर; क्योंकि फल के हेतु बनने वाले अत्यन्त दीन हैं ।।,"Action (with a selfish motive) is far inferior to this Yoga in the form of equanimity. Do you seek refuge in this equipoise of mind, Arjuna; for poor and wretched are those who are instrumental in making their actions bear fruit.",-0.26,Sadness
97,बुद्धियुक्तो जहातीह उभे सुकृतदुष्कृते । तस्माद्योगाय युज्यस्व योगः कर्मसु कौशलम् ।।,समबुद्धि युक्त पुरुष पुण्य और पाप दोनों को इसी लोक में त्याग देता है अर्थात् उनसे मुक्त हो जाता है। इससे तू समत्वरूप योग में लग जा; यह समत्व रूप योग ही कर्मों में कुशलता है अर्थात् कर्मबन्धन से छूटने का उपाय है ।। ,"Endowed with equanimity, one sheds in this life both good and evil. Therefore, strive for the practice of this Yoga of equanimity. Skill in action lies in (the practice of this) Yoga.",0.0,Calmness
98,कर्मजं बुद्धियुक्ता हि फलं त्यक्त्वा मनीषिणः । जन्मबन्धविनिर्मुक्ताः पदं गच्छन्त्यनामयम् ।,क्योंकि समबुद्धि से युक्त ज्ञानी जन कर्मों से उत्पन्न। होने वाले फल को त्याग कर जन्मरूप बन्धन से मुक्त हो निर्विकार परम पद को प्राप्त हो जाते हैं ।।,"For wise men possessing an equiposied mind, renouncing the fruit of actions and freed from the shackles of birth, attain the blissful supreme state.",0.0,Calmness
99,यदा ते मोहकलिलं बुद्धिर्व्यतितरिष्यति । तदा गन्तासि निर्वेदं श्रोतव्यस्य श्रुतस्य च ।। ,"जिस काल में तेरी बुद्धि मोहरूप दलदल को भलीभाँति पार कर जायेगी, उस समय तू सुने हुए और सुनने में आने वाले इस लोक और परलोक सम्बन्धी सभी भोगों से वैराग्य को प्राप्त हो जायेगा ।। ","When your mind will have fully crossed the more of delusion, you will then grow indifferent to the enjoyments of this world and the next that have been heard of as well
as to those that are yet to be heard of.",0.0,Calmness
100,श्रुतिविप्रतिपन्ना ते यदा स्थास्यति निश्चला । समाधावचला बुद्धिस्तदा योगमवाप्स्यसि ।। ,"भाँति-भाँति के वचनों को सुनने से विचलित हुई तेरी बुद्धि जब परमात्मा में अचल और स्थिर ठहर जायेगी, तब तू योग को प्राप्त हो जायेगा अर्थात् तेरा परमात्मा से नित्य संयोग हो जायेगा ।। ","When your intellect, confused by hearing conflicting statements, will rest, steady and undistracted (in meditation) on God, you will then attain Yoga (for lasting union with God).",0.0,Calmness
101,स्थितप्रज्ञस्य का भाषा समाधिस्थस्य केशव । स्थितधीः किं प्रभाषेत किमासीत व्रजेत किम् ।।,"अर्जुन बोले- हे केशव ! समाधि में स्थित परमात्मा को प्राप्त हुए स्थिर बुद्धि पुरुष का क्या लक्षण है ? वह स्थिर बुद्धि पुरुष कैसे बोलता है, कैसे बैठता है और कैसे चलता है ? ।। ","Arjuna said: Krsna, what is the definition (mark) of a God-realized soul, stable to mind and established in Samadhi (perfect tranquillity of mind)? How does the man of stable mind speak, how does he sit, how does he walk?",0.0,Calmness
102,प्रजहाति यदा कामान् सर्वान् पार्थ मनोगतान् । आत्मन्येवात्मना तुष्टः स्थितप्रज्ञस्तदोच्यते ।। ,"श्री भगवान् बोले- हे अर्जुन ! जिस काल में यह पुरुष मन में स्थित सम्पूर्ण कामनाओं को भलीभाँति त्याग देता है और आत्मा से आत्मा में ही सन्तुष्ट रहता है, उस काल में स्थित प्रज्ञ कहा जाता है ।। ","Sri Bhagavan said: Arjuna, when one thoroughly dismisses all cravings of the mind, and is satisfied in the self through (the joy of) the self, then he is called stable of mind.",0.5,Enjoyment
103,दुःखेष्वनुद्विग्नमनाः सुखेषु विगतस्पृहः । वीतरागभयक्रोधः स्थितधीर्मुनिरुच्यते ।।,"दुःखों की प्राप्ति होने पर जिसके मन में उद्वेग नहीं होता, सुखों की प्राप्ति में जो सर्वथा निःस्पृह है तथा जिसके राग, भय और क्रोध नष्ट हो गये हैं, ऐसा मुनि स्थिर बुद्धि कहा जाता है ।। ","The sage, whose mind remains unperturbed amid sorrows, whose thirst for pleasure has altogether disappeared, and who is free from passion, fear and anger, is called stale of mind.",0.09375,Interest
104,यः सर्वत्रानभिस्नेहस्तत्तत्प्राप्य शुभाशुभम् । नाभिनन्दति न द्वेष्टि तस्य प्रज्ञा प्रतिष्ठिता ।। ,जो पुरुष सर्वत्र स्नेहरहित हुआ उस-उस शुभ या अशुभ वस्तु को प्राप्त होकर न प्रसन्न होता है और न द्वेष करता है उसकी बुद्धि स्थिर है ।। ,"He who is unattached to everything, and meeting with good and evil, neither rejoices nor recoils, his mind is stable.",0.0,Calmness
105,यदा संहरते चायं कूर्मोऽगानीव सर्वशः । इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता । ।,"जैसे कछुवा अपने सब अंगों को समेट लेता है, वैसे ही जिसने अपनी सब इन्द्रियों को हटा लिया है, उसकी बुद्धि स्थिर हो जाती है ।।","When like a tortoise, which draws in its limbs from all directions, he withdraws his senses from. the sense-objects, his mind is (should be considered as) stable.",0.0,Calmness
106,विषया विनिवर्तन्ते निराहारस्य देहिनः । रसवर्णं रसोऽप्यस्य परं दृष्ट्वा निवर्तते ।। ,"इन्द्रियों के द्वारा विषयों को ग्रहण न करने वाले पुरुष के भी केवल विषय तो निवृत्त हो जाते हैं, परंतु उनमें रहने वाली आसक्ति निवृत्त नहीं होती । ।। ","Sense-objects turn away from him, who does not enjoy them with his senses; but the taste for them persists. This relish also disappears in the case of the man of stable mind when he sees the Supreme.",0.0,Calmness
107,यततो ह्मपि कौन्तेय पुरुषस्य विपश्चितः । इन्द्रियाणि प्रमाथीनि हरन्ति प्रसभं मनः । । ,हे अर्जुन ! आसक्ति का नाश न होने के कारण ये प्रमथन स्वभाव वाली इन्द्रियाँ यत्न करते हुए बुद्धिमान् पुरुष के मन को बलात्कार से हर लेती हैं ।। ,"Turbulent by nature, the senses even of a wise man, who is practising self-control, f forcibly carry away his mind, Arjuna.",0.39375000000000004,Empathy
108,तानि सर्वाणि संयम्य युक्त आसीत मत्परः । वशे हि यस्येन्द्रियाणि तस्य प्रज्ञा प्रतिष्ठिता ।। ,"इसलिये साधक को चाहिये कि वह उन सम्पूर्ण इन्द्रियों को वश में करके समाहित चित्त हुआ मेरे परायण होकर ध्यान में बैठे; क्योंकि जिस पुरुष की इन्द्रियाँ वश में होती हैं, उसी की बुद्धि स्थिर हो जाती है ।। ","Therefore, having controlled them all and collecting his mind one should sit for meditation, devoting oneself heart and soul to Me. For he, whose senses are mastered is known to have a stable mind.",0.0,Calmness
109,ध्यायतो विषयान् पुंसः संगस्तेषूपजायते । संगात्सञ्जायते कामः कामात्क्रोधोऽभिजायते । । ,"विषयों का चिन्तन करने वाले पुरुष की उन विषयों में आसक्ति हो जाती है, आसक्ति से उन विषयों की कामना उत्पन्न होती है और कामना में विघ्न पड़ने से क्रोध उत्पन्न होता है ।। ","विषयों का चिन्तन करने वाले पुरुष की उन विषयों में आसक्ति हो जाती है, आसक्ति से उन विषयों की कामना उत्पन्न होती है और कामना में विघ्न पड़ने से क्रोध उत्पन्न होता है ।। ",-0.4125,Fear
110,क्रोधाद्भवति सम्मोहः सम्मोहात्स्मृतिविभ्रमः । स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति ।।,"क्रोध से अत्यन्त मूढ़भाव उत्पन्न हो जाता है, मूढ़भाव से स्मृति में भ्रम हो जाता है, स्मृति में भ्रम हो जाने से बुद्धि अर्थात ज्ञानशक्ति का नाश हो जाता है और बुद्धि का नाश हो जाने से यह पुरुष अपनी स्थिति से गिर जाता है ।।","From anger arises infatuation; from infatuation, confusion of memory; from confusion of memory, loss of reason; and from loss of reason one goes to complete ruin.",-0.33499999999999996,Sadness
111,रागद्वेषवियुक्तैस्तु विषयानिन्द्रियैश्चरन् । आत्मवश्यैर्विधेयात्मा प्रसादमधिगच्छति ।। ,"परंतु अपने अधीन किये हुए अन्तःकरणवाला साधक अपने वश में की हुई, राग-द्वेष से रहित इन्द्रियों द्वारा विषयों में विचरण करता हुआ अन्तःकरण की प्रसन्नता को प्राप्त होता है ।। ","But the self-controlled practicant, while enjoying the various sense-objects through his senses, which are disciplined and free from likes and dislikes, attains placidity of mind.",0.2333333333333333,Empathy
112,प्रसादे सर्वदुःखानां हानिरस्योपजायते । प्रसनचेतसो ह्माशु बुद्धिः पर्यवतिष्ठते ।। ,अन्तःकरण की प्रसन्नता होने पर इसके सम्पूर्ण दुःखों का अभाव हो जाता है और उस प्रसन्न चित्त वाले कर्मयोगी की बुद्धि शीघ्र ही सब ओर से हटकर एक परमात्मा में ही भलीभाँति स्थिर हो जाती है ।। ,"With the attainment of such placidity of mind, all his sorrows come to an end; and the intellect of such a person of tranquil mind, soon withdrawing itself from all sides, becomes firmly established in God",0.3375,Empathy
113,"नास्ति बुद्धिरयुक्तस्य न चायुक्तस्य भावना।
न चाभावयतः शान्तिरशान्तस्य कुतः सुखम् ।। ",न जीते हुए मन और इन्द्रियों वाले पुरुष में निश्चयात्मिका बुद्धि नहीं होती और उस अयुक्त मनुष्य के अन्तःकरण में भावना भी नहीं होती तथा भावनाहीन मनुष्य को शान्ति नहीं मिलती और शान्तिरहित मनुष्य को सुख कैसे मिल सकता है ? ।। ,He who has not controlled his mind and senses can have no reason; nor can such an undisciplined man think of God. the unthinking man can have no peace; and howcan there be happiness for one lacking peace of mind.?,0.5666666666666667,Enjoyment
114,इन्द्रियाणां हि चरतां यन्मनोऽनु विधीयते । तदस्य हरति प्रज्ञां वायुर्नावमिवाम्भसि ।। ,"क्योंकि जैसे जल में चलने वाली नाव को वायु हर लेती है, वैसे ही विषयों में विचरती हुई इन्द्रियों में से मन जिस इन्द्रिय के साथ रहता है वह एक ही इन्द्रिय इस अयुक्त पुरुष की बुद्धि को हर लेती है ।। ","As the wind carries away a boat upon the waters, even so of the senses moving among sense-objects, the one to which the mind is joined takes away his discrimination.",0.125,Interest
115,तस्माद्यस्य महाबाहो निगृहीतानि सर्वशः । इन्द्रियाणीन्द्रियार्थेभ्यस्तस्य प्रज्ञा प्रतिष्ठिता ।। ,"इसलिये हे महाबाहो ! जिस पुरुष की इन्द्रियाँ इन्द्रियों के विषयों से सब प्रकार निग्रह की हुई हैं, उसी की बुद्धि स्थिर है ।।","Therefore, Arjuna, he whose senses are completely restrained from their objects, is said to have a stable mind.",0.0,Calmness
116,या निशा सर्वभूतानां तस्यां जागर्ति संयमी । यस्यां जाग्रति भूतानि सा निशा पश्यतो मुनेः ।।,"सम्पूर्ण प्राणियों के लिये जो रात्रि के समान है, उस नित्य ज्ञानस्वरूप परमानन्द की प्राप्ति में स्थितप्रज्ञ योगी जागता है और जिस नाशवान् सांसारिक सुख की प्राप्ति में सब प्राणी जागते हैं, परमात्मा के तत्त्व को जानने वाले मुनि के लिये वह रात्रि के समान है ।।","That which is night to all beings, in that state (of Divine Knowledge and supreme Bliss) the God-realized Yogi keeps awake. And that (the ever-changing, transient worldly happiness) in which all beings keep awake is night to the seer.",0.2333333333333333,Empathy
117,आपूर्यमाणमचलप्रतिष्ठं समुद्रमापः प्रविशन्ति यद्वत् । तद्वत्कामा यं प्रविशन्ति सर्वे स शान्तिमाप्नोति न कामकामी ।।,"जैसे नाना नदियों के जल सब ओर से परिपूर्ण, अचल प्रतिष्ठा वाले, समुद्र में उसको विचलित न करते हुए ही समा जाते हैं, वैसे ही सब भोग जिस स्थितप्रज्ञ पुरुष में किसी प्रकार का विकार उत्पन्न किये बिना ही समा जाते हैं, वही पुरुष शान्ति को प्राप्त होता है, भोगों को चाहने वाला नहीं ।। ","As the waters of different rivers enter the ocean, which though full on all sides remains undisturbed, likewise he is whom all enjoy- ments merge themselves attains peace; not he who hankers after such enjoyments.",0.2375,Empathy
118,विहाय कामान् यः सर्वान् पुमांश्चरति निःस्पृह । निर्ममो निरहंकार स शान्तिमधिगच्छति ।। ,"जो पुरुष सम्पूर्ण कामनाओं को त्यागकर ममत रहित, अहंकार रहित और स्पृहारहित हुआ विचरता है वही शान्ति को प्राप्त होता है अर्थात् वह शान्ति को प्राप्त है ।। ","He who has given up all desires, and moves free from attachment, egoism and thirst for ejoyment attains peace.",0.4,Empathy
119,"एषा ब्राह्मी स्थितिः पार्थ नैनां प्राप्य विमुह्मति ।
स्थित्वास्यामन्तकालेऽपि ब्रह्मनिर्वाणमृच्छति ।। ।।","हे अर्जुन ! यह ब्रह्म को प्राप्त पुरुष की स्थिति है, इसको प्राप्त होकर योगी कभी मोहित नहीं होता और अन्त काल में भी इस ब्राह्मी स्थिति में स्थित होकर ब्रह्मानन्द को प्राप्त हो जाता है ।।","Arjuna, such is the state of the God-realized soul; having reached this state, he overcomes delusion. And established in this state, even at the last moment, he attains Brahmic Bliss.",0.0,Calmness
120,ज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन । तत्किं कर्मणि घोरे मां नियोजयसि केशव ,"हे जनार्दन, यदि तुम सोचते हो कि बुद्धि कर्म से श्रेष्ठ है, तो हे केशव, आप मुझे इस भयानक कार्य में क्यों लगा रहे हैं?","O Janārdana, if you think that intelligence is superior to action, So why are you engaging me in this terrible action, O Kesava?",-0.15000000000000002,Calmness
121,व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे। तदेकं वद निश्चित्य येन श्रेयोऽहमाप्नुयाम् ,ऐसा प्रतीत होता है कि आप अपनी उलझी हुई बातों से मेरे मन को भ्रमित कर रहे हैं मुझे वह एक बात अवश्य बताइये जिससे मेरा कल्याण हो,You seem to be deluding my mind with your confused words Tell me that one thing for sure by which I may attain good,-0.4,Fear
122,लोकेऽस्मिन्द्विविधा निष्ठा पुरा प्रोक्ता मयानघ । ज्ञानयोगेन सांख्यानां कर्मयोगेन योगिनाम् ,"हे निष्पाप, मैं तुम्हें पहले ही इस संसार में दो प्रकार की भक्ति बता चुका हूँ। सांख्यों के लिए ज्ञान योग द्वारा और योगियों के लिए कर्म योग द्वारा","O sinless one, I have already explained to you two kinds of devotion in this world. By the Yoga of Knowledge for the Sankhyas and by the Yoga of Karma for the Yogis",0.0,Calmness
123,न कर्मणामनारम्भात्रैष्कर्यं पुरुषोऽश्नुते । न च संन्यसनादेव सिद्धिं समधिगच्छति ,कर्म किये बिना मनुष्य को उसका फल नहीं मिलता। न ही वह त्याग से पूर्णता प्राप्त करता है,A person does not enjoy the fruits of his actions without undertaking them. Nor does he attain perfection by renunciation,0.0,Calmness
124,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् । कार्यते ह्मवशः कर्म सर्वः प्रकृतिजैर्गुणैः ,जो कोई अपने कर्तव्यों का पालन नहीं करता वह एक क्षण के लिए भी नहीं रुकता। सभी क्रियाएं प्रकृति से उत्पन्न गुणों द्वारा हमारे नियंत्रण में होती हैं,No one who does not perform his duties ever remains for a moment. All action is done under our control by the modes born of nature,0.0,Calmness
125,"कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् ।
इन्दियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ","जो कर्म इंद्रियों को नियंत्रित करता है और भगवान का ध्यान करता है। जिसकी आत्मा इन्द्रियों के अर्थों से मोहित हो जाती है, वह मिथ्या अभ्यासी कहलाता है",One who controls the senses of action and meditates on the Supreme Personality of Godhead. He whose soul is deluded by the meanings of the Indians is called a false practitioner,-0.4000000000000001,Fear
126,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन । कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ,"हे अर्जुन, जो मन से इंद्रियों को वश में कर लेता है वह वैसा ही करने लगता है। जो कर्मेन्द्रियों द्वारा कर्मयोग में अनासक्त है, वह श्रेष्ठ है","O Arjuna, one who controls the senses with the mind begins to do so. He who is unattached to the Yoga of action by the senses of action is superior",0.7,Happiness
